,Title,Brand,Price,Link
0,"Lenovo IdeaPad Gaming 3 Laptop - 11th Gen Intel Core i7-11370H, 16GB RAM, 1TB HDD + 256GB SSD, NVIDIA GTX 1650 4GB GDDR6 Graphics, 15.6"" FHD 1920x1080 IPS 120Hz, 4-Zone RGB Backlit Keyboard, Black - 82K10051UE",LENOVO,"Ksh153,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-ideapad-gaming-3-laptop-11th-intel-core-i7-11370h-16gb-ram-1tb-hdd-256gb-ssd-nvidia-gtx-1650-4gb-gddr6-graphics-15-6-fhd-1920x1080-ips-120hz-4-zone-rgb-backlit-keyboard-black
1,"Lenovo V15 G2 Laptop (82KB001UUE) - 15.6"" Inch Display, 11th Generation Core i5, 4GB RAM/1TB Hard Disk Drive",LENOVO,"Ksh61,000.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-v15-g2-laptop-82kb001uue-15-6-inch-display-11th-generation-core-i5-4gb-ram-1tb-hard-disk-drive
2,"HP Notebook 15-ra008nia Laptop 15.6"" - Intel Celeron N3060 - 500GB HDD - 4GB RAM ,Free DOS (3QT49EA)",HP,"Ksh39,999.00",https://www.digitalstore.co.ke/collections/laptops/products/hp-15ra008nia-15-6-intel-celeron
3,"HP ProBook 430 G8 Notebook Laptop, Intel Core i7-1165G7, 8GB RAM, 512GB SSD, 13.3"" HD Display, Windows 10 pro - 2X7T3EA",HP,"Ksh125,999.00",https://www.digitalstore.co.ke/collections/laptops/products/hp-probook-430-g8-notebook-pc-intel-core-i7-1165g7-8gb-512gb-ssd-13-3-dos-2x7t3ea
4,"ASUS X540M - 15.6"" - Intel Celeron- 500GB HDD - 4GB RAM - DOS",ASUS,"Ksh32,500.00",https://www.digitalstore.co.ke/collections/laptops/products/asus-x540m-15-6-intel-celeron-500gb-hdd-4gb-ram-dos
5,"Apple MacBook Pro M1 Laptop (MK183B/A) - 512GB SSD, 16GB RAM, 1-Year Warranty",APPLE,"Ksh329,999.00",https://www.digitalstore.co.ke/collections/laptops/products/apple-macbook-pro-m1-laptop-mk183b-a-512gb-ssd-16gb-ram-1-year-warranty
6,"Lenovo Legion Slim 7 Gaming Laptop (82HS00JEAU) - 15.6 Inch Display, 11th Generation AMD Ryzen 7, 16GB RAM/512 GB Solid State Drive",LENOVO,"Ksh147,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-legion-slim-7-gaming-laptop-82hs00jeau-15-6-inch-display-11th-generation-amd-ryzen-7-16gb-ram-512-gb-solid-state-drive
7,"HP 250 G7 Notebook PC Laptop Core i5, 8GB RAM, 1 TB HDD(6HL20EA)",HP,"Ksh58,799.00",https://www.digitalstore.co.ke/collections/laptops/products/hp-250-g7-notebook-pc-laptop-core-i5-8gb-ram-1-tb-hdd6hl20ea
8,"HP NoteBook Laptop 15 - 15-BS151nia (3XY28EA) - Intel Core i3 - 4GB RAM - 500GB HDD - 15.6"" - Free DOS",HP,"Ksh51,500.00",https://www.digitalstore.co.ke/collections/laptops/products/hp-notebook-laptop-15-bs151nia-15-6-intel-core-i3-5005u-500gb-hdd-4gb-ram-free-dos
9,HP Pavilion 15-er0069nia x360 Laptop Core i7 1165G7 16GB RAM 512GB SSD window 10 15.6',HP,"Ksh129,999.00",https://www.digitalstore.co.ke/collections/laptops/products/hp-pavilion-15-x360-laptop-core-i7-1165g7-16gb-ram-512gb-ssd-storage-2-in-1
10,"Lenovo ideaPad 3 151GL05 laptop (82H700N2UE) - 14″ Inch Display, Intel Core i7, 8GB RAM/1TB Hard Disk Drive",LENOVO,"Ksh77,000.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-ideapad-3-14itl6-intel-core-i7-1165g7-4gb-4gb-ddr4-3200-up-to-12gb-support-1tb-additional-slot-of-m-2-2280-ssd-up-to-512gb-no-odd-no-os-14inches-fhd-arctic-grey-82h700n2ue
11,"ASUS E410 Laptop-Intel Celeron N4020, 4GB, 128GB HDD 14-inch HD LED Windows 10 (E410MA-BV025T)",ASUS,"Ksh36,999.00",https://www.digitalstore.co.ke/collections/laptops/products/asus-e410-intel-celeron-n4020-4gb-128gb-emmc-14-inch-hd-led-win-10-laptop-e410ma-bv025t
12,Asus X543U Intel Core i5-8250U Processor 15.6″ HD Display 8GB DDR4 RAM 1TB(1000GB) ROM HDD 2GB Dedicated Graphics Windows 10 1 Year Warranty,ASUS,"Ksh59,999.00",https://www.digitalstore.co.ke/collections/laptops/products/asus-x543u-intel-core-i5-8250u-processor-15-6-hd-display-8gb-ddr4-ram-1tb1000gb-rom-hdd-2gb-dedicated-graphics-windows-10-1-year-warranty
13,"Lenovo ThinkPad E15 Gen 4 Laptop (21E6008UUE) - Intel Core i5, 12th Gen(1235U), 512GB SSD, 8GB RAM, 15.6""Inch FHD Display, 2-Years Warranty",LENOVO,"Ksh101,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-e15-gen-4-laptop-21e6008uue-intel-core-i5-12th-gen1235u-512gb-ssd-8gb-ram-15-6inch-fhd-display-2-years-warranty
14,"Lenovo ThinkPad E14 Gen 4 Laptop (21E3009BUE) - Intel Core i7, 12th Gen(1255U), 512GB SSD, 8GB RAM, 14""Inch FHD Display, 2-Years Warranty",LENOVO,"Ksh129,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-e14-gen-4-laptop-21e3009bue-intel-core-i7-12th-gen1255u-512gb-ssd-8gb-ram-14inch-fhd-display-2-years-warranty
15,"Lenovo ThinkPad E15 Gen 4 Laptop (21E60083UE) - Intel Core i7, 12th Gen(1255U), 512GB SSD, 8GB RAM, 15.6""Inch FHD Display, 2-Years Warranty",LENOVO,"Ksh120,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-e15-gen-4-laptop-21e60083ue-intel-core-i7-12th-gen1255u-512gb-ssd-8gb-ram-15-6inch-fhd-display-2-years-warranty
16,"Lenovo ThinkPad T14s Gen 2 Laptop (20WNS3R400) - Intel Core i7, 11th Gen(1165G7), 512GB SSD, 16GB RAM, 14""Inch FHD Display, Windows 10 Pro, 3-Years Warranty",LENOVO,"Ksh213,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-t14s-gen-2-laptop-20wns3r400-intel-core-i7-11th-gen1165g7-512gb-ssd-16gb-ram-14inch-fhd-display-windows-10-pro-3-years-warranty
17,"Lenovo ThinkPad T14s Gen 2 Laptop (20WM0088UE) - Intel Core i7, 11th Gen(1165G7), 1TB SSD, 16GB RAM, 14""Inch FHD Display, Windows 10 Pro, 3-Years Warranty",LENOVO,"Ksh234,999.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-t14s-gen-2-laptop-20wm0088ue-intel-core-i7-11th-gen1165g7-1tb-ssd-16gb-ram-14inch-fhd-display-windows-10-pro-3-years-warranty
18,"Apple MacBook Pro 14 M1Pro Laptop (MKGT3B/A) - 1TB SSD, 16GB RAM, 14"" Inch FHD Display, 1-Year Warranty",APPLE,"Ksh334,999.00",https://www.digitalstore.co.ke/collections/laptops/products/apple-macbook-pro-14-m1pro-laptop-mkgt3b-a-1tb-ssd-16gb-ram-14-inch-fhd-display-1-year-warranty
19,"Lenovo ThinkPad X13 Gen 2 Laptop (20WK008LUE) - Intel Core i5, 11th Gen(1135G7), 512GB SSD, 8GB RAM, 13.3""Inch Display, Windows 10 Pro, 3-Years Warranty",LENOVO,"Ksh192,500.00",https://www.digitalstore.co.ke/collections/laptops/products/lenovo-thinkpad-x13-gen-2-laptop-20wk008lue-intel-core-i5-11th-gen1135g7-512gb-ssd-8gb-ram-13-3inch-display-windows-10-pro-3-years-warranty
